folder_name,file_name,label1,prob1,label2,prob2,label3,prob3,label4,prob4,label5,prob5,label6,prob6,label7,prob7,label8,prob8,label9,prob9,label10,prob10
C:\IMAGES_SNEV\Flickr\picos\2015\17413241291.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\17413241291.jpg,accomodation,0.13293461501598358,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0
C:\IMAGES_SNEV\Flickr\picos\2015\17413544975.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\17413544975.jpg,landforms,0.5680285692214966,"spiritual,_symbolic_and_related_connotations",0.2238440364599228,heritage_and_culture,0.0371924452483654,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0
C:\IMAGES_SNEV\Flickr\picos\2015\17471262770.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\17471262770.jpg,plants,0.2592768967151642,landforms,0.01571362279355526,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0
C:\IMAGES_SNEV\Flickr\picos\2015\17667921784.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\17667921784.jpg,landforms,0.7264624834060669,heritage_and_culture,0.011303846724331379,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0
C:\IMAGES_SNEV\Flickr\picos\2015\18102075448.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\18102075448.jpg,landforms,0.28662407398223877,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0
C:\IMAGES_SNEV\Flickr\picos\2015\18102775360.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\18102775360.jpg,landforms,0.11171069741249084,heritage_and_culture,0.04377875104546547,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0
C:\IMAGES_SNEV\Flickr\picos\2015\18104276319.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\18104276319.jpg,landforms,0.9602153897285461,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0
C:\IMAGES_SNEV\Flickr\picos\2015\18144698663.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\18144698663.jpg,landforms,0.04708787053823471,dam,0.003332272171974182,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0
C:\IMAGES_SNEV\Flickr\picos\2015\18272705422.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\18272705422.jpg,landforms,0.9923267364501953,heritage_and_culture,0.0007303524762392044,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0
C:\IMAGES_SNEV\Flickr\picos\2015\18277869601.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\18277869601.jpg,landforms,0.6803271770477295,animals,0.0013749513309448957,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0
C:\IMAGES_SNEV\Flickr\picos\2015\19884175194.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\19884175194.jpg,landforms,0.8910415172576904,heritage_and_culture,0.007046287879347801,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0
C:\IMAGES_SNEV\Flickr\picos\2015\19949612564.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\19949612564.jpg,landforms,0.9388255476951599,dam,0.005366874393075705,heritage_and_culture,0.0023857392370700836,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0
C:\IMAGES_SNEV\Flickr\picos\2015\20536264983.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\20536264983.jpg,heritage_and_culture,0.051145125180482864,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0
C:\IMAGES_SNEV\Flickr\picos\2015\20539866321.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\20539866321.jpg,landforms,0.7934917211532593,heritage_and_culture,0.02297583408653736,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0
C:\IMAGES_SNEV\Flickr\picos\2015\20895960944.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\20895960944.jpg,animals,0.365769624710083,plants,0.08026419579982758,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0
C:\IMAGES_SNEV\Flickr\picos\2015\20906709519.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\20906709519.jpg,animals,0.0005506499437615275,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0
C:\IMAGES_SNEV\Flickr\picos\2015\21147822442.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\21147822442.jpg,heritage_and_culture,6.964611384319142e-5,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0
C:\IMAGES_SNEV\Flickr\picos\2015\21330671560.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\21330671560.jpg,plants,0.49908193945884705,animals,0.33565664291381836,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0
C:\IMAGES_SNEV\Flickr\picos\2015\21330673670.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\21330673670.jpg,vegetation_and_habitats,0.17880702018737793,animals,0.05575614422559738,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0
C:\IMAGES_SNEV\Flickr\picos\2015\21423250256.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\21423250256.jpg,landforms,0.38075968623161316,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0
C:\IMAGES_SNEV\Flickr\picos\2015\22527639758.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\22527639758.jpg,landforms,0.5891888737678528,heritage_and_culture,0.010941842570900917,dam,0.0024746812414377928,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0
C:\IMAGES_SNEV\Flickr\picos\2015\22628226404.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\22628226404.jpg,landforms,0.4037259519100189,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0
C:\IMAGES_SNEV\Flickr\picos\2015\22629546113.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\22629546113.jpg,landforms,0.7494096159934998,dam,0.0004295290564186871,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0
C:\IMAGES_SNEV\Flickr\picos\2015\22629547593.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\22629547593.jpg,landforms,0.7413442134857178,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0
C:\IMAGES_SNEV\Flickr\picos\2015\22670407575.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\22670407575.jpg,heritage_and_culture,0.9909548163414001,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0
C:\IMAGES_SNEV\Flickr\picos\2015\22854686600.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\22854686600.jpg,winter_activities,0.5864004492759705,landforms,0.046979956328868866,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0
C:\IMAGES_SNEV\Flickr\picos\2015\23153368102.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\23153368102.jpg,heritage_and_culture,0.032103024423122406,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0
C:\IMAGES_SNEV\Flickr\picos\2015\23230524646.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\23230524646.jpg,landforms,0.32368674874305725,dam,0.00014211855886969715,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0
C:\IMAGES_SNEV\Flickr\picos\2015\23776105560.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\23776105560.jpg,landforms,0.8338177800178528,heritage_and_culture,0.010565887205302715,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0
C:\IMAGES_SNEV\Flickr\picos\2015\24043742396.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\24043742396.jpg,heritage_and_culture,0.09041062742471695,landforms,0.028190800920128822,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0
C:\IMAGES_SNEV\Flickr\picos\2015\24394779934.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\24394779934.jpg,heritage_and_culture,0.40452051162719727,"spiritual,_symbolic_and_related_connotations",0.022532839328050613,dam,0.009367021732032299,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0
C:\IMAGES_SNEV\Flickr\picos\2015\24717566847.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\24717566847.jpg,"spiritual,_symbolic_and_related_connotations",0.8238926529884338,heritage_and_culture,0.0791202038526535,landforms,0.002671151189133525,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0
C:\IMAGES_SNEV\Flickr\picos\2015\26195033884.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\26195033884.jpg,tracks_and_trails,0.4020586609840393,landforms,0.013034256175160408,heritage_and_culture,0.012713765725493431,dam,0.011926085688173771,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0
C:\IMAGES_SNEV\Flickr\picos\2015\29751115955.jpg,C:\IMAGES_SNEV\Flickr\picos\2015\29751115955.jpg,tracks_and_trails,0.3398060202598572,landforms,0.08698289841413498,animals,0.007656974717974663,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0,none,0.0
